cell_category,paper_light_pct,paper_heavy_pct
CD4+T,63.58,36.42
hESC-H9,67.24,32.76
DLTB,28.02,71.98
TLTB,24.22,75.78
WB-GTP-control,67.44,32.56
WB-GTP-PTSD,63.58,36.42
HCT116,61.97,38.03
HEK293T,55.33,44.67
RNH2A-KO-T3-8,56.08,43.92
RNH2A-KO-T3-17,49.9,50.1
