stage,light,heavy,total,light_pct,heavy_pct
Ribose-Map coordinates,2188,2678,4866,44.965063707357174,55.034936292642826
after mismatch filter,2170,2628,4798,45.22717799082951,54.77282200917049
after mismatch + RE mask,1987,2456,4443,44.722034661264914,55.277965338735086
